,UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS,REGIAO
161,AM,1,0,1,2.0,3639,27.93989138113248,4.264259534118362,N
162,AM,1,0,2,1.0,5063,163.3560160916754,4.391559839592975,N
163,AM,1,0,2,2.0,663,161.5287255927159,5.075321795185552,N
164,AM,1,0,3,1.0,5254,390.44006118705255,2.9951417447442634,N
165,AM,1,0,3,2.0,1092,388.28604118685,3.100409552208597,N
166,AM,1,0,4,1.0,2733,963.2071373677198,1.6381955119689358,N
167,AM,1,0,4,2.0,625,922.8896983087214,1.7085306123897366,N
168,AM,1,1,1,1.0,22628,29.17863903288499,3.8388867998466907,N
169,AM,1,1,1,2.0,10389,29.783152720263296,4.556675119669399,N
170,AM,1,1,2,1.0,2916,158.56346899118043,4.625342934099886,N
171,AM,1,1,2,2.0,1051,157.74631342409458,5.492863665091719,N
172,AM,1,1,3,1.0,4784,396.8267867621758,3.2369286132511337,N
173,AM,1,1,3,2.0,1370,391.1636481674251,3.440416358907004,N
174,AM,1,1,4,1.0,2580,1049.3236952400555,1.6987861032179912,N
175,AM,1,1,4,2.0,553,997.9678331467652,1.8281865900270466,N
176,AM,2,0,1,1.0,26238,27.25947146923245,3.981834533195414,N
177,AM,2,0,1,2.0,7344,26.2949025837431,4.706655168189147,N
178,AM,2,0,2,1.0,8031,159.75419544298808,4.570982989984981,N
179,AM,2,0,2,2.0,986,159.4767819039616,5.50218279811619,N
180,AM,2,0,3,1.0,5573,371.5215273085532,3.0568952829738727,N
181,AM,2,0,3,2.0,1043,366.7119328107886,3.2362771079109174,N
182,AM,2,0,4,1.0,2637,967.7007608233953,1.4589082599468812,N
183,AM,2,0,4,2.0,484,925.3808429110093,1.5967281835664189,N
184,AM,2,1,1,1.0,33011,27.56501372771309,4.269413326902256,N
185,AM,2,1,1,2.0,19927,26.966573034447666,5.128861542089037,N
186,AM,2,1,2,1.0,4081,156.05124520779265,4.961124179328346,N
187,AM,2,1,2,2.0,1786,155.85210611059077,5.726479707026325,N
188,AM,2,1,3,1.0,4562,375.0390842350352,3.443434876022072,N
189,AM,2,1,3,2.0,1547,356.4104515261711,3.700074296932029,N
190,AM,2,1,4,1.0,1845,1062.2264638460213,1.6342843225974044,N
191,AM,2,1,4,2.0,439,1008.3018260182062,1.8058244829515973,N
192,AM,3,0,1,1.0,34552,25.1879484815117,3.331852628424559,N
193,AM,3,0,1,2.0,9797,24.949232477406184,3.931234426279213,N
194,AM,3,0,2,1.0,9180,156.84983051116117,3.844483803949843,N
195,AM,3,0,2,2.0,715,157.49919459128287,4.647836865906043,N
196,AM,3,0,3,1.0,6437,380.53261500548444,2.7518323107682656,N
197,AM,3,0,3,2.0,707,364.97544602517473,2.9047489400163498,N
198,AM,3,0,4,1.0,6446,1017.7580008638777,1.281545704999577,N
