,UF,FX_ANO_CADASTRO_FAM,FX_RFPC,CO_PRINCIPAL_TRAB_MEMB,CO_SABE_LER_ESCREVER_MEMB,SIT_ATUALIZACAO,REG,IDADE
250,AC,2,4,4.0,2.0,1,1,69.0
251,AC,2,4,5.0,1.0,1,1,42.0
252,AC,2,4,6.0,1.0,0,1,48.0
253,AC,2,4,6.0,1.0,1,1,72.0
254,AC,2,4,6.0,2.0,0,1,42.0
255,AC,2,4,7.0,1.0,0,2,44.0
256,AC,2,4,7.0,1.0,1,1,25.0
257,AC,2,4,7.0,2.0,0,2,64.0
258,AC,2,4,7.0,2.0,1,2,33.5
259,AC,2,4,8.0,1.0,0,14,43.61904761904761
260,AC,2,4,8.0,1.0,1,10,40.52777777777778
261,AC,2,4,8.0,2.0,0,1,47.0
262,AC,2,4,8.0,2.0,1,1,37.0
263,AC,2,4,10.0,1.0,1,1,24.0
264,AC,3,1,1.0,1.0,0,2400,35.727383963673226
265,AC,3,1,1.0,1.0,1,4708,35.16360153969494
266,AC,3,1,1.0,2.0,0,355,41.810403525981485
267,AC,3,1,1.0,2.0,1,1049,41.59838768688976
268,AC,3,1,2.0,1.0,0,334,36.57598006841853
269,AC,3,1,2.0,1.0,1,701,36.11596667289567
270,AC,3,1,2.0,2.0,0,86,43.22852597179223
271,AC,3,1,2.0,2.0,1,219,40.14518549837353
272,AC,3,1,3.0,1.0,0,58,34.834259259259255
273,AC,3,1,3.0,1.0,1,106,33.22541546173125
274,AC,3,1,3.0,2.0,0,5,40.55555555555555
275,AC,3,1,3.0,2.0,1,6,34.833333333333336
276,AC,3,1,4.0,1.0,0,62,35.07900432900433
277,AC,3,1,4.0,1.0,1,82,35.70811965811966
278,AC,3,1,4.0,2.0,0,4,46.25
279,AC,3,1,4.0,2.0,1,4,45.666666666666664
280,AC,3,1,5.0,1.0,0,36,34.34090909090909
281,AC,3,1,5.0,1.0,1,66,33.79758169934641
282,AC,3,1,5.0,2.0,0,4,40.666666666666664
283,AC,3,1,5.0,2.0,1,5,40.4
284,AC,3,1,6.0,1.0,0,4,36.5
285,AC,3,1,6.0,1.0,1,6,32.125
286,AC,3,1,6.0,2.0,0,1,34.0
287,AC,3,1,6.0,2.0,1,1,35.0
288,AC,3,1,7.0,1.0,0,198,33.37214743589744
289,AC,3,1,7.0,1.0,1,966,34.47197212477028
290,AC,3,1,7.0,2.0,0,70,42.461016949152544
291,AC,3,1,7.0,2.0,1,356,35.943829401088934
292,AC,3,1,8.0,1.0,0,4,34.0
293,AC,3,1,8.0,1.0,1,7,32.166666666666664
294,AC,3,1,10.0,1.0,0,3,22.75
295,AC,3,1,10.0,1.0,1,4,21.75
296,AC,3,1,11.0,1.0,0,2,23.0
297,AC,3,1,11.0,1.0,1,6,17.833333333333332
298,AC,3,2,1.0,1.0,0,359,39.36820510367537
299,AC,3,2,1.0,1.0,1,516,36.40244582286171
300,AC,3,2,1.0,2.0,0,40,46.89404761904762
301,AC,3,2,1.0,2.0,1,60,46.189343434343435
302,AC,3,2,2.0,1.0,0,26,36.160714285714285
303,AC,3,2,2.0,1.0,1,40,38.25125
304,AC,3,2,2.0,2.0,0,4,54.75
305,AC,3,2,2.0,2.0,1,12,46.4
306,AC,3,2,3.0,1.0,0,35,34.49761904761905
307,AC,3,2,3.0,1.0,1,47,35.36018518518519
308,AC,3,2,3.0,2.0,0,2,34.0
309,AC,3,2,3.0,2.0,1,4,40.16666666666667
310,AC,3,2,4.0,1.0,0,85,37.136171310629514
311,AC,3,2,4.0,1.0,1,80,36.24371135841724
312,AC,3,2,4.0,2.0,0,4,44.5
313,AC,3,2,4.0,2.0,1,9,38.25
314,AC,3,2,5.0,1.0,0,10,33.976190476190474
315,AC,3,2,5.0,1.0,1,15,34.41666666666667
316,AC,3,2,5.0,2.0,1,3,41.25
317,AC,3,2,6.0,1.0,0,2,38.0
318,AC,3,2,6.0,1.0,1,6,34.666666666666664
319,AC,3,2,6.0,2.0,0,3,37.5
320,AC,3,2,6.0,2.0,1,1,41.0
321,AC,3,2,7.0,1.0,0,10,34.16666666666667
322,AC,3,2,7.0,1.0,1,27,34.88235294117647
323,AC,3,2,7.0,2.0,0,7,41.29166666666667
324,AC,3,2,7.0,2.0,1,13,43.125
325,AC,3,2,8.0,1.0,0,12,36.666666666666664
326,AC,3,2,8.0,1.0,1,17,39.875
327,AC,3,2,8.0,2.0,1,3,34.25
328,AC,3,2,9.0,1.0,0,1,29.0
329,AC,3,2,10.0,1.0,0,3,25.75
330,AC,3,2,10.0,1.0,1,1,27.0
331,AC,3,2,11.0,1.0,0,3,19.333333333333332
332,AC,3,2,11.0,1.0,1,1,21.0
333,AC,3,3,1.0,1.0,0,227,41.436660772178016
334,AC,3,3,1.0,1.0,1,190,38.61890552382912
335,AC,3,3,1.0,2.0,0,34,49.55694444444445
336,AC,3,3,1.0,2.0,1,15,49.6875
337,AC,3,3,2.0,1.0,0,21,43.182291666666664
338,AC,3,3,2.0,1.0,1,11,39.22222222222222
339,AC,3,3,2.0,2.0,0,4,48.166666666666664
340,AC,3,3,2.0,2.0,1,4,37.666666666666664
341,AC,3,3,3.0,1.0,0,84,35.35738095238095
342,AC,3,3,3.0,1.0,1,68,37.14791666666667
343,AC,3,3,3.0,2.0,0,4,45.0
344,AC,3,3,3.0,2.0,1,3,43.75
345,AC,3,3,4.0,1.0,0,221,35.060437111907696
346,AC,3,3,4.0,1.0,1,188,36.14845937644445
347,AC,3,3,4.0,2.0,0,12,41.233333333333334
348,AC,3,3,4.0,2.0,1,8,40.44444444444444
349,AC,3,3,5.0,1.0,0,5,40.55555555555555
350,AC,3,3,5.0,1.0,1,8,38.07142857142857
351,AC,3,3,5.0,2.0,1,1,40.0
352,AC,3,3,6.0,1.0,0,6,33.666666666666664
353,AC,3,3,6.0,1.0,1,11,31.944444444444443
354,AC,3,3,7.0,1.0,0,21,43.88775510204082
355,AC,3,3,7.0,1.0,1,23,34.775
356,AC,3,3,7.0,2.0,0,9,42.5
357,AC,3,3,7.0,2.0,1,9,50.65
358,AC,3,3,8.0,1.0,0,52,39.49166666666667
359,AC,3,3,8.0,1.0,1,40,38.98676470588235
360,AC,3,3,8.0,2.0,0,1,34.0
361,AC,3,3,8.0,2.0,1,1,60.0
362,AC,3,3,9.0,2.0,0,1,35.0
363,AC,3,3,9.0,2.0,1,1,39.0
364,AC,3,3,10.0,1.0,0,3,30.333333333333332
365,AC,3,3,11.0,1.0,0,2,19.0
366,AC,3,4,1.0,1.0,0,40,44.180128205128206
367,AC,3,4,1.0,1.0,1,26,43.28030303030303
368,AC,3,4,1.0,2.0,0,7,54.25
369,AC,3,4,1.0,2.0,1,5,48.4
370,AC,3,4,2.0,1.0,0,2,43.5
371,AC,3,4,2.0,1.0,1,1,55.0
372,AC,3,4,2.0,2.0,0,1,61.0
373,AC,3,4,3.0,1.0,0,27,37.36111111111111
374,AC,3,4,3.0,1.0,1,24,31.2375
375,AC,3,4,3.0,2.0,0,1,40.0
376,AC,3,4,4.0,1.0,0,75,40.73679012345679
377,AC,3,4,4.0,1.0,1,33,38.28857142857143
378,AC,3,4,4.0,2.0,0,10,41.04
379,AC,3,4,4.0,2.0,1,2,58.0
380,AC,3,4,5.0,1.0,1,1,29.0
381,AC,3,4,6.0,1.0,0,4,47.16666666666667
382,AC,3,4,7.0,1.0,0,2,31.0
383,AC,3,4,7.0,2.0,0,1,70.0
384,AC,3,4,7.0,2.0,1,6,51.6
385,AC,3,4,8.0,1.0,0,34,44.84477124183007
386,AC,3,4,8.0,1.0,1,23,42.40079365079365
387,AC,3,4,9.0,1.0,0,2,46.5
388,AC,3,4,10.0,1.0,0,1,24.0
389,AC,4,1,1.0,1.0,0,3388,34.160209990410515
390,AC,4,1,1.0,1.0,1,5779,31.799117852775055
391,AC,4,1,1.0,2.0,0,404,41.62646326777279
392,AC,4,1,1.0,2.0,1,756,40.862540096557765
393,AC,4,1,2.0,1.0,0,397,33.782369521660776
394,AC,4,1,2.0,1.0,1,889,32.59054095452471
395,AC,4,1,2.0,2.0,0,85,43.41730769230769
396,AC,4,1,2.0,2.0,1,135,38.478968253968254
397,AC,4,1,3.0,1.0,0,84,34.26331654456654
398,AC,4,1,3.0,1.0,1,94,29.9690873015873
399,AC,4,1,3.0,2.0,0,4,36.833333333333336
400,AC,4,1,3.0,2.0,1,6,42.2
401,AC,4,1,4.0,1.0,0,90,33.58080808080808
402,AC,4,1,4.0,1.0,1,123,30.17860614228539
403,AC,4,1,4.0,2.0,0,4,36.5
404,AC,4,1,4.0,2.0,1,3,41.666666666666664
405,AC,4,1,5.0,1.0,0,27,35.42760942760943
406,AC,4,1,5.0,1.0,1,58,31.106574675324676
407,AC,4,1,5.0,2.0,0,2,41.5
408,AC,4,1,5.0,2.0,1,4,43.0
409,AC,4,1,6.0,1.0,0,5,40.5
