UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS
AC,4,1,4,1.0,2550,1098.5211764705882,1.4545098039215687
AC,4,1,4,2.0,671,1092.1281669150521,1.4709388971684054
AC,5,0,1,1.0,611,23.291325695581016,2.211129296235679
AC,5,0,1,2.0,306,25.944444444444443,2.366013071895425
AC,5,0,2,1.0,111,159.47747747747746,2.936936936936937
AC,5,0,2,2.0,45,163.8,2.9555555555555557
AC,5,0,3,1.0,498,420.4899598393574,2.889558232931727
AC,5,0,3,2.0,130,440.4076923076923,2.546153846153846
AC,5,0,4,1.0,737,1045.7462686567164,1.5413839891451833
AC,5,0,4,2.0,245,1062.8285714285714,1.379591836734694
AC,5,1,1,1.0,13200,25.285075757575758,2.038939393939394
AC,5,1,1,2.0,7434,25.824320688727468,2.1393596986817327
AC,5,1,2,1.0,2361,159.98432867429057,2.216010165184244
AC,5,1,2,2.0,1014,160.38067061143985,1.9970414201183433
AC,5,1,3,1.0,3668,396.2532715376227,2.4482006543075245
AC,5,1,3,2.0,1219,396.5348646431501,2.2428219852337983
AC,5,1,4,1.0,2272,1153.7654049295775,1.5466549295774648
AC,5,1,4,2.0,856,1132.0607476635514,1.5257009345794392
AL,1,0,1,1.0,16768,40.47781488549618,2.900763358778626
AL,1,0,1,2.0,10012,29.121154614462643,3.176188573711546
AL,1,0,2,1.0,2424,157.05280528052805,3.481023102310231
AL,1,0,2,2.0,898,164.0857461024499,4.733853006681515
AL,1,0,3,1.0,5481,382.21693121693124,2.7848932676518885
AL,1,0,3,2.0,2901,380.1413305756636,3.0268872802481903
AL,1,0,4,1.0,4093,954.0427559247496,1.40801368189592
AL,1,0,4,2.0,2237,937.8082253017434,1.7246312025033528
AL,1,1,1,1.0,29879,35.58619766391111,2.819304528263998
AL,1,1,1,2.0,21294,25.474546820700667,3.2958579881656807
AL,1,1,2,1.0,2440,158.39262295081969,3.475
AL,1,1,2,2.0,1080,164.46851851851852,5.083333333333333
AL,1,1,3,1.0,6738,416.34669041258536,2.9100623330365094
AL,1,1,3,2.0,3644,396.68962678375414,3.325192096597146
AL,1,1,4,1.0,3538,1055.096099491238,1.4544940644431883
AL,1,1,4,2.0,1577,1043.2523779327837,1.8186429930247305
AL,2,0,1,1.0,25965,41.41109185441941,3.167648757943385
AL,2,0,1,2.0,10936,28.437545720555963,3.3513167520117046
AL,2,0,2,1.0,4351,153.96161801884625,3.406113537117904
AL,2,0,2,2.0,663,161.31523378582202,4.343891402714932
AL,2,0,3,1.0,5467,358.9533565026523,2.893360160965795
